task_type,Original_rte,Original_lj_score,Original_iter,Original_delta_f_avg,Original_u_avg,Original_flip_ratio,Disturb_rte,Disturb_lj_score,Disturb_iter,Disturb_delta_f_avg,Disturb_u_avg,Disturb_flip_ratio,Oracle_rte,Oracle_lj_score,Oracle_iter,Oracle_delta_f_avg,Oracle_u_avg,Oracle_flip_ratio
Entity Recognition,0.226,0.000,2.909,0.539,0.368,--,0.237,0.139,4.083,0.640,0.324,0.139,0.328,0.375,4.000,0.686,0.383,0.375
Single-hop Attribute Query,0.345,0.000,3.372,0.618,0.442,--,0.282,0.075,4.312,0.676,0.346,0.075,0.250,0.385,4.385,0.639,0.341,0.385
Multi-hop,0.218,0.000,4.051,0.553,0.274,--,0.208,0.070,4.563,0.627,0.251,0.070,0.180,0.500,5.250,0.743,0.188,0.500
Comparison,0.155,0.000,4.377,0.476,0.212,--,0.143,0.069,5.207,0.537,0.205,0.069,0.158,0.500,5.750,0.435,0.288,0.500
Subproblem Aggregation,0.327,0.000,3.543,0.592,0.502,--,0.320,0.237,3.812,0.681,0.461,0.237,0.506,0.500,3.500,0.799,0.542,0.500
