task_type,Original_rte,Original_lj_score,Original_iter,Original_delta_f_avg,Original_u_avg,Original_flip_ratio,Disturb_rte,Disturb_lj_score,Disturb_iter,Disturb_delta_f_avg,Disturb_u_avg,Disturb_flip_ratio,Oracle_rte,Oracle_lj_score,Oracle_iter,Oracle_delta_f_avg,Oracle_u_avg,Oracle_flip_ratio
Entity Recognition,0.172,0.000,2.694,0.442,0.432,--,0.275,0.139,2.903,0.659,0.364,0.139,0.382,0.328,1.388,0.722,0.580,0.328
Single-hop Attribute Query,0.205,0.000,3.590,0.416,0.388,--,0.335,0.090,3.699,0.610,0.471,0.090,0.315,0.151,2.396,0.633,0.500,0.151
Multi-hop,0.248,0.000,3.148,0.485,0.406,--,0.333,0.062,3.363,0.635,0.420,0.062,0.305,0.121,3.216,0.631,0.404,0.121
Comparison,0.218,0.000,3.103,0.469,0.371,--,0.265,0.109,3.516,0.577,0.356,0.109,0.285,0.161,3.194,0.584,0.415,0.161
Subproblem Aggregation,0.368,0.000,3.165,0.553,0.612,--,0.388,0.282,3.466,0.647,0.547,0.282,0.489,0.429,1.857,0.811,0.631,0.429
