task_type,Original_rte,Original_lj_score,Original_iter,Original_delta_f_avg,Original_u_avg,Original_flip_ratio,Disturb_rte,Disturb_lj_score,Disturb_iter,Disturb_delta_f_avg,Disturb_u_avg,Disturb_flip_ratio,Oracle_rte,Oracle_lj_score,Oracle_iter,Oracle_delta_f_avg,Oracle_u_avg,Oracle_flip_ratio
Entity Recognition,0.478,1.000,1.331,0.826,0.655,--,0.466,0.787,2.237,0.787,0.567,0.212,0.697,0.911,1.511,0.818,0.831,0.089
Single-hop Attribute Query,0.733,1.000,1.464,0.847,0.862,--,0.549,0.785,2.108,0.850,0.621,0.215,0.499,0.909,2.091,0.805,0.618,0.091
Multi-hop,0.717,1.000,1.507,0.842,0.865,--,0.534,0.785,2.231,0.833,0.605,0.215,0.299,1.000,1.500,0.712,0.500,0.000
Comparison,0.638,1.000,1.611,0.819,0.780,--,0.507,0.681,2.500,0.781,0.628,0.298,0.487,0.800,2.300,0.743,0.646,0.200
Subproblem Aggregation,0.556,1.000,2.604,0.675,0.830,--,0.467,0.749,3.217,0.718,0.656,0.246,0.602,0.857,3.286,0.691,0.839,0.143
