task_type,Original_rte,Original_lj_score,Original_iter,Original_delta_f_avg,Original_u_avg,Original_flip_ratio,Disturb_rte,Disturb_lj_score,Disturb_iter,Disturb_delta_f_avg,Disturb_u_avg,Disturb_flip_ratio,Oracle_rte,Oracle_lj_score,Oracle_iter,Oracle_delta_f_avg,Oracle_u_avg,Oracle_flip_ratio
Entity Recognition,0.194,1.000,0.738,0.674,0.508,--,0.175,0.565,2.522,0.644,0.333,0.435,0.528,0.793,1.552,0.752,0.728,0.207
Single-hop Attribute Query,0.318,1.000,1.200,0.537,0.771,--,0.024,0.286,1.286,0.717,0.167,0.714,0.167,1.000,1.000,0.333,0.500,0.000
Multi-hop,0.400,1.000,1.000,0.900,0.500,--,0.000,0.000,1.500,0.727,0.000,1.000,--,--,--,--,--,--
Comparison,0.000,1.000,1.000,0.000,1.000,--,0.000,0.000,1.000,0.952,0.000,1.000,--,--,--,--,--,--
Subproblem Aggregation,0.491,1.000,2.600,0.717,0.696,--,0.427,0.745,3.041,0.756,0.567,0.255,0.477,0.818,3.455,0.735,0.639,0.182
