Model,Metric,Margin,Single-hop Attribute Query,Entity Recognition
RefAmb_original_InternVL3.5-8B,C2 Ratio,0.15,1/1 (1.00),1/3 (0.33)
RefAmb_original_InternVL3.5-8B,C2 Ratio,0.2,1/1 (1.00),1/3 (0.33)
RefAmb_original_InternVL3.5-8B,C2 Ratio,0.3,1/1 (1.00),1/3 (0.33)
RefAmb_original_InternVL3.5-8B,C2 Ratio,0.4,1/1 (1.00),1/3 (0.33)
RefAmb_original_InternVL3.5-8B,C2 Ratio,0.5,1/1 (1.00),1/3 (0.33)
RefAmb_original_InternVL3.5-8B,RTE,0.05,0/1 (0.00),0/3 (0.00)
RefAmb_original_InternVL3.5-8B,RTE,0.1,1/1 (1.00),0/3 (0.00)
RefAmb_original_InternVL3.5-8B,RTE,0.15,1/1 (1.00),0/3 (0.00)
RefAmb_original_InternVL3.5-8B,RTE,0.2,1/1 (1.00),3/3 (1.00)
RefAmb_original_InternVL3.5-8B,RTE,0.25,1/1 (1.00),3/3 (1.00)
RefAmb_original_InternVL3.5-8B,RTE,0.3,1/1 (1.00),3/3 (1.00)
RefAmb_original_InternVL3.5-8B,LJ,0.05,0/1 (0.00),0/3 (0.00)
RefAmb_original_InternVL3.5-8B,LJ,0.1,1/1 (1.00),0/3 (0.00)
RefAmb_original_InternVL3.5-8B,LJ,0.15,1/1 (1.00),0/3 (0.00)
RefAmb_original_InternVL3.5-8B,LJ,0.2,1/1 (1.00),0/3 (0.00)
RefAmb_original_InternVL3.5-8B,LJ,0.25,1/1 (1.00),1/3 (0.33)
RefAmb_original_InternVL3.5-8B,LJ,0.3,1/1 (1.00),1/3 (0.33)
