task_type,Original_rte,Original_iter,Original_delta_f_avg,Original_u_avg,Original_lj_score,Original_flip_ratio,Disturb_rte,Disturb_iter,Disturb_delta_f_avg,Disturb_u_avg,Disturb_lj_score,Disturb_flip_ratio,Oracle_rte,Oracle_iter,Oracle_delta_f_avg,Oracle_u_avg,Oracle_lj_score,Oracle_flip_ratio
Entity Recognition,0.172,2.694,0.442,0.432,0.000,--,0.275,2.903,0.659,0.364,0.139,0.139,0.382,1.388,0.722,0.580,0.328,0.328
Single-hop Attribute Query,0.205,3.590,0.416,0.388,0.000,--,0.335,3.699,0.610,0.471,0.090,0.090,0.315,2.396,0.633,0.500,0.151,0.151
Multi-hop,0.248,3.148,0.485,0.406,0.000,--,0.333,3.363,0.635,0.420,0.062,0.062,0.305,3.216,0.631,0.404,0.121,0.121
Comparison,0.218,3.103,0.469,0.371,0.000,--,0.265,3.516,0.577,0.356,0.109,0.109,0.285,3.194,0.584,0.415,0.161,0.161
Subproblem Aggregation,0.368,3.165,0.553,0.612,0.000,--,0.388,3.466,0.647,0.547,0.282,0.282,0.489,1.857,0.811,0.631,0.429,0.429
Macro-average,0.242,3.140,0.473,0.442,0.000,--,0.319,3.389,0.626,0.432,0.136,0.136,0.355,2.410,0.676,0.506,0.238,0.238
