task_type,Original_rte,Original_lj_score,Original_iter,Original_delta_f_avg,Original_u_avg,Original_flip_ratio,Disturb_rte,Disturb_lj_score,Disturb_iter,Disturb_delta_f_avg,Disturb_u_avg,Disturb_flip_ratio,Oracle_rte,Oracle_lj_score,Oracle_iter,Oracle_delta_f_avg,Oracle_u_avg,Oracle_flip_ratio
Entity Recognition,0.156,0.000,3.585,0.540,0.245,--,0.149,0.074,4.621,0.568,0.216,0.074,0.255,0.232,3.768,0.621,0.324,0.232
Single-hop Attribute Query,0.301,0.000,3.573,0.657,0.375,--,0.243,0.048,4.558,0.655,0.308,0.048,0.308,0.238,3.365,0.715,0.402,0.238
Multi-hop,0.261,0.000,3.737,0.602,0.334,--,0.244,0.056,4.246,0.638,0.303,0.056,0.293,0.183,4.200,0.649,0.365,0.183
Comparison,0.200,0.000,3.873,0.538,0.279,--,0.184,0.069,4.462,0.568,0.253,0.069,0.237,0.135,4.404,0.616,0.312,0.135
Subproblem Aggregation,0.348,0.000,3.637,0.567,0.535,--,0.329,0.202,3.899,0.641,0.471,0.202,0.151,0.500,3.667,0.675,0.217,0.500
