task_type,Original_rte,Original_lj_score,Original_iter,Original_delta_f_avg,Original_u_avg,Original_flip_ratio,Disturb_rte,Disturb_lj_score,Disturb_iter,Disturb_delta_f_avg,Disturb_u_avg,Disturb_flip_ratio,Oracle_rte,Oracle_lj_score,Oracle_iter,Oracle_delta_f_avg,Oracle_u_avg,Oracle_flip_ratio
Entity Recognition,0.395,1.000,1.205,0.848,0.602,--,0.437,0.808,2.692,0.806,0.500,0.192,0.614,0.920,1.800,0.839,0.703,0.080
Single-hop Attribute Query,0.662,1.000,1.560,0.848,0.802,--,0.490,0.855,2.681,0.805,0.574,0.145,0.411,0.688,2.750,0.753,0.494,0.312
Multi-hop,0.761,1.000,1.706,0.873,0.868,--,0.576,0.882,2.279,0.877,0.656,0.118,0.442,0.714,2.429,0.753,0.600,0.286
Comparison,0.595,1.000,1.931,0.816,0.723,--,0.471,0.756,2.744,0.792,0.562,0.244,0.523,0.909,1.818,0.918,0.568,0.091
Subproblem Aggregation,0.527,1.000,2.584,0.667,0.796,--,0.418,0.734,3.296,0.725,0.583,0.266,0.461,0.714,3.429,0.681,0.654,0.286
