id	uncertainty_score
687cecd1-d839-4eb1-bf38-638cf5daa579	0.560546875
8309a492-853c-4873-ae71-08c778825e11	0.62109375
3c0bacd2-cb3a-40d2-8504-76480582e2bd	0.609375
7759e81e-db7a-4774-8040-1150a9475786	0.70703125
03292bfb-c8b7-46c0-9e32-8dadf12a5509	0.61328125
a6d2363d-c098-4b35-8a23-4c15c3bba8c0	0.625
0f546023-6988-4737-8fa5-8519e92969af	0.5625
fee9400b-708f-454d-a6ab-f311d40824da	0.599609375
25923538-8c50-4af4-a28f-3f0a76c8ae9d	0.646484375
804ff703-e647-4c50-93ed-14de080fabc8	0.58203125
71810499-303f-4399-a5a2-dda0ddeee927	0.6328125
ca515dd6-ae98-4268-9db7-0f7d1bf6622f	0.66015625
3820bcbd-033e-4545-a8ea-a08842d4792c	0.515625
253dc956-dbe7-43d6-ae3f-85f29a299d68	0.73046875
28a92dda-cf36-47ad-8a51-bf4028b8e8cf	0.705078125
